candidate_id,entry_month,trades,avg_net_pips,total_net_pips,profit_factor,win_rate,severe_profit_factor,avg_MFE_pips,avg_MAE_pips,median_hold_bars
F_v2_z72_1p5_mean_target_0p25_max12,2024-01,15,16.226666666666475,243.3999999999971,5.080469404861505,0.7333333333333333,4.049275362318772,28.320000000000196,-15.883333333333322,12.0
F_v2_z72_1p5_mean_target_0p25_max12,2024-02,17,4.655882352940997,79.14999999999695,2.5339147286821206,0.5882352941176471,1.6231343283581665,15.491176470588497,-15.85,12.0
F_v2_z72_1p5_mean_target_0p25_max12,2024-03,16,4.3120247281305835,68.99239565008934,1.4831142988789423,0.5625,1.2096559802013942,21.971875000000168,-15.890625000000018,12.0
F_v2_z72_1p5_mean_target_0p25_max12,2024-04,13,2.4807692307690865,32.249999999998124,1.2360907759882727,0.6153846153846154,1.0247289972899603,20.115384615384535,-18.538461538461544,12.0
F_v2_z72_1p5_mean_target_0p25_max12,2024-05,23,0.03913043478245139,0.8999999999963819,1.0044020542919851,0.5217391304347826,0.7861445783132397,15.597826086956085,-16.767391304348003,12.0
F_v2_z72_1p5_mean_target_0p25_max12,2024-06,6,4.491666666666346,26.949999999998074,1.502798507462638,0.6666666666666666,1.2303182579564138,22.825000000000017,-13.750000000000151,12.0
F_v2_z72_1p5_mean_target_0p5_max12,2024-01,15,13.719999999999816,205.79999999999723,4.450125733444933,0.7333333333333333,3.5244704163621936,25.450000000000195,-15.883333333333322,11.0
F_v2_z72_1p5_mean_target_0p5_max12,2024-02,17,4.07058823529389,69.19999999999614,2.3410852713177634,0.5882352941176471,1.4746268656715866,14.670588235294355,-15.85,12.0
F_v2_z72_1p5_mean_target_0p5_max12,2024-03,16,0.8495247281306597,13.592395650090555,1.0951797749984378,0.5625,0.8606198275807946,18.375000000000057,-15.890625000000018,12.0
F_v2_z72_1p5_mean_target_0p5_max12,2024-04,13,1.7423076923074938,22.64999999999742,1.1658125915080333,0.6153846153846154,0.9596883468834515,18.94615384615379,-18.538461538461544,12.0
F_v2_z72_1p5_mean_target_0p5_max12,2024-05,23,-0.31956521739149474,-7.350000000004378,0.9640498899486215,0.5217391304347826,0.7506454388984347,15.054347826086529,-16.767391304348003,12.0
F_v2_z72_1p5_mean_target_0p5_max12,2024-06,6,4.491666666666346,26.949999999998074,1.502798507462638,0.6666666666666666,1.2303182579564138,22.825000000000017,-13.750000000000151,12.0
