candidate_id,family,definition_sha256,reported_horizons,horizons_with_trades,positive_default_horizons,positive_severe_horizons,longest_positive_default_run,diagnostic_best_horizon_bars,best_avg_default_net_pips,hold6_avg_default_net_pips,total_trade_rows_across_horizons
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,11,11,10,1,8,32,2.221053370093,2.015898978489,4274
R1A02_impulse_lb6_med8_x1,impulse_breakout,b388fbae3bf4d437e4428ee977c7866943eb8b10d6d851ba7005c764af6eaa71,11,11,4,1,4,48,2.357795913224,-0.206467015711,17186
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,11,11,5,2,5,48,4.239058481650,-0.269859279075,10708
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,11,11,4,2,4,48,5.098650431944,-1.134482294046,8272
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,11,11,6,2,5,32,6.428236366242,-0.189048288671,5148
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,11,11,3,2,2,48,5.136063270857,-0.028756068460,1208
R1B02_legacy_asia_00_07_breakout,session_range_breakout,b9abb7ac1a44d270dbee702758652a023dff24407d4764f7ac03547bb7aa7990,11,11,9,4,6,32,10.690132683016,-0.008857215974,1087
R1B03_legacy_prior_day_breakout,session_range_breakout,629259b0868387914f65e82102137e324dc606d76e149c70d1bb7b3614c15a14,11,11,3,1,2,6,2.377876444556,2.377876444556,1033
R1B04_london_open_07_09_breakout,session_range_breakout,03810bab04f6e72ce3ed1ec56b594b7646418719603dfa3f7caf8d948d38cb63,11,11,8,2,5,48,3.757794276144,0.192704965187,1536
R1B05_london_morning_07_13_breakout,session_range_breakout,8236982989cc19645e1a19b28b01cfe90099e4c67d509de02df1c8645641391e,11,11,0,0,0,1,-1.673560483960,-3.217079002479,1180
R1C01_legacy_failed_12bar,failed_excursion_reversion,8816c326250871e2711da0ddf46da1f5d7c2c3d37426457c8738a75be35267c1,11,11,2,0,2,16,0.949415889503,-0.554472999386,8875
R1C02_legacy_failed_24bar,failed_excursion_reversion,c3eeb7ba059c57ccf74800a329135eec91b8f4d1fb5f8d8c438e8b0a7c5f7430,11,11,8,0,8,12,1.605999410381,0.295420897984,6626
R1C03_legacy_failed_asia_00_06,failed_excursion_reversion,9d916392c2496c11b1f8e1aca44641f8e39af5c280816f8c77c923ca2377e7d4,11,11,10,2,10,24,4.197661187470,0.847661187470,4859
R1C04_failed_48bar_all_liquid,failed_excursion_reversion,c8c63ffba2c5d3b0621cc92207ceeb2187c0720bc6ecdd2f5f8d887ca6f0cd93,11,11,0,0,0,2,-0.222818442550,-0.619733609645,8536
R1C05_failed_prior_day,failed_excursion_reversion,d11c282ebdb4f8ca68e36904c707647706806db17dc14e04564d8101be2323d3,11,11,5,2,3,24,3.409311793841,0.598900917166,4906
R1C06_failed_london_open_07_09,failed_excursion_reversion,e1454bb4248d56ee2082c0b60f500d503b36a154b309a1a87a48a97f6ea29dac,11,11,2,0,2,12,1.049916991709,-0.470551440063,5369
R1D01_legacy_compression_4v4,compression_expansion,07097a0c958d4f116f3718e4128a2de038164a8d3d185219c751dbb7330abba2,11,11,4,0,2,48,1.198551457184,-0.491234480929,5870
R1D02_legacy_compression_8v8,compression_expansion,af5346345fa844ff9d83ac5c60c99009f97967b9f0ea2aa1bc110a357bf621ec,11,11,2,0,1,32,0.948559085483,-0.273579048906,3551
R1D03_compression_12v12,compression_expansion,ad63bdfe58004d6303f8acd53f6a80063e118e3d3fa9f8de2e05018adfaeb321,11,11,6,1,6,32,2.286511313102,-0.268629323982,6083
R1D04_compression_16v16,compression_expansion,3a6ae9436a3a0d03076e6b961353dafa242eba6648771d85bca9a7b446a6d72b,11,11,4,1,4,48,3.293792944465,-0.841630082513,5309
R1D05_compression_24v24,compression_expansion,f2d43ce0173f4f8669c4a947af9bbc78d48ed7325c0c675612c4c064dde25f22,11,11,0,0,0,1,-0.937342462741,-1.729739369958,4252
R1E01_legacy_trend_4h_resumption,trend_pullback_resumption,c0da75c40bbbbf0f744d4249d3f61cb231f25d2d65dee0f149b7988d16ca27db,11,11,3,3,3,32,7.037943486086,-0.392611917702,4222
R1E02_legacy_trend_8h_resumption,trend_pullback_resumption,23e3724d872de13027eb769e830b148786cec42dd471b0e34bc062718f364017,11,11,6,3,5,32,7.252746964453,0.030554776472,4082
R1E03_trend_12h_resumption,trend_pullback_resumption,90d0f87208e9aff45443c6864be13ef853dec694ab5c5a2d97902e744cce55e8,11,11,7,2,7,48,6.259019750100,0.121081095279,7990
R1E04_trend_16h_resumption,trend_pullback_resumption,88b02ad95db6eca41b982925a97f72f3cc23baf43d5ca2d042e0c5a8a755a494,11,11,8,3,8,48,6.479599639567,0.715239405486,8354
R1E05_legacy_trend_24h_resumption,trend_pullback_resumption,eb9d5030db470ff6cdd7799ec682f3041d59ccdf58d2d29dc3cb3ebc1a9f7a7d,11,11,8,2,8,32,3.344404127612,1.783354797265,3964
R1F01_donchian_8,donchian_channel_breakout,85154b42f04ad0a21c737eed180193a672428a9452956a05179c84ade126fc06,11,11,2,1,2,48,3.335355174108,-0.193095246161,13907
