datetime,open,high,low,close
2026-01-05 00:00:00,158.00,158.02,157.98,158.01
2026-01-05 00:01:00,158.01,158.30,157.99,158.25
2026-01-05 00:02:00,158.25,158.28,158.05,158.08
2026-01-05 00:03:00,158.08,158.10,157.70,157.75
2026-01-05 00:04:00,157.75,157.92,157.60,157.90
2026-01-05 00:05:00,157.90,158.05,157.85,158.00
2026-01-05 00:06:00,158.00,158.20,157.95,158.15
2026-01-05 00:07:00,158.15,158.18,157.88,157.90
2026-01-05 00:08:00,157.90,157.94,157.50,157.55
2026-01-05 00:09:00,157.55,157.70,157.52,157.65
2026-01-05 00:10:00,157.65,157.95,157.62,157.90
2026-01-05 00:11:00,157.90,158.05,157.86,158.00
