trades,net,pf,win_rate,median,gross_profit,gross_loss,mdd,mean_mfe_pips,mean_mae_pips,profit_then_giveback_rate,immediate_failure_rate,timeout_truncation_rate,positive_months,fold,failure_class
5,173.00000000003024,,1.0,10.000000000019329,173.00000000003024,0.0,0.0,17.559999999999718,-26.74000000000035,1.0,0.0,0.0,3,2023H1,D_PROFIT_THEN_GIVEBACK
7,-1746.0000000000662,0.0,0.0,-209.0000000000032,0.0,-1746.0000000000662,1276.0000000000673,12.885714285714098,-36.428571428571594,0.0,0.0,0.0,0,2023H1,F_CONTINUATION_RESUMPTION
9,4349.000000000075,,1.0,487.0000000000232,4349.000000000075,0.0,0.0,59.155555555555374,-7.244444444443982,0.0,0.0,0.0,6,2023H1,H_SUSTAINED_REVERSAL
9,-81.00000000001731,0.746081504702131,0.6666666666666666,24.999999999977263,237.99999999997112,-318.9999999999884,234.99999999998525,20.255555555555322,-17.799999999999727,1.0,0.0,0.0,4,2023H2,D_PROFIT_THEN_GIVEBACK
15,-2866.000000000042,0.0,0.0,-121.00000000000932,0.0,-2866.000000000042,2772.000000000019,13.786666666665989,-27.886666666666997,0.0,0.0,0.0,0,2023H2,F_CONTINUATION_RESUMPTION
11,2285.000000000025,,1.0,231.9999999999993,2285.000000000025,0.0,0.0,26.79090909090886,-10.309090909090525,0.0,0.0,0.0,5,2023H2,H_SUSTAINED_REVERSAL
1,-183.9999999999975,0.0,0.0,-183.9999999999975,0.0,-183.9999999999975,0.0,-0.3000000000014324,-38.700000000000045,0.0,1.0,0.0,0,2024H1,A_IMMEDIATE_SIGNAL_FAILURE
9,631.9999999999482,11.031746031742566,0.8888888888888888,72.00000000000273,694.9999999999648,-63.0000000000166,63.0000000000166,22.922222222221777,-16.144444444444478,1.0,0.0,0.0,5,2024H1,D_PROFIT_THEN_GIVEBACK
8,-920.9999999999638,0.0,0.0,-127.9999999999859,0.0,-920.9999999999638,725.9999999999707,5.21250000000002,-21.91250000000018,0.0,0.0,0.0,0,2024H1,F_CONTINUATION_RESUMPTION
12,2625.999999999948,,1.0,119.99999999999034,2625.999999999948,0.0,0.0,29.758333333332843,-15.733333333333613,0.0,0.0,0.0,6,2024H1,H_SUSTAINED_REVERSAL
1,-317.99999999998363,0.0,0.0,-317.99999999998363,0.0,-317.99999999998363,0.0,-0.3999999999990677,-51.69999999999959,0.0,1.0,0.0,0,2024H2,A_IMMEDIATE_SIGNAL_FAILURE
6,416.99999999994475,,1.0,80.49999999998647,416.99999999994475,0.0,0.0,26.116666666666315,-16.133333333333628,1.0,0.0,0.0,4,2024H2,D_PROFIT_THEN_GIVEBACK
7,-2638.000000000062,0.0,0.0,-213.00000000002228,0.0,-2638.000000000062,1406.0000000000628,13.228571428570035,-49.700000000000195,0.0,0.0,0.0,0,2024H2,F_CONTINUATION_RESUMPTION
14,10773.999999999944,,1.0,475.4999999999967,10773.999999999944,0.0,0.0,89.83571428571427,-12.185714285714612,0.0,0.0,0.0,6,2024H2,H_SUSTAINED_REVERSAL
2,-143.0,0.0,0.0,-71.5,0.0,-143.0,89.0,62.04999999999927,-10.300000000000864,1.0,0.0,0.0,0,2025H1,D_PROFIT_THEN_GIVEBACK
9,-2738.0,0.0,0.0,-191.0,0.0,-2738.0,2547.0,9.877777777777888,-49.388888888888815,0.0,0.0,0.0,0,2025H1,F_CONTINUATION_RESUMPTION
6,2601.0,,1.0,296.0,2601.0,0.0,0.0,49.34999999999974,-9.850000000000136,0.0,0.0,0.0,5,2025H1,H_SUSTAINED_REVERSAL
10,54.0,1.3,0.5,5.5,234.0,-180.0,72.0,17.14000000000027,-10.500000000000398,1.0,0.0,0.0,3,2025H2,D_PROFIT_THEN_GIVEBACK
12,-3237.0,0.0,0.0,-206.5,0.0,-3237.0,2965.0,6.97500000000062,-34.51666666666663,0.0,0.0,0.0,0,2025H2,F_CONTINUATION_RESUMPTION
8,2186.0,,1.0,308.5,2186.0,0.0,0.0,34.562500000000895,-15.63750000000006,0.0,0.0,0.0,5,2025H2,H_SUSTAINED_REVERSAL
