fold,failure_class,side,trades,net_jpy,pf,mean_mfe_pips,median_mfe_pips,mean_mae_pips,median_mae_pips,mean_time_to_profit_minutes,mean_time_to_mfe_minutes,mean_time_to_mae_minutes,mean_giveback_pips
2023H1,D_PROFIT_THEN_GIVEBACK,LONG,3,73.0000000000075,,14.166666666666098,14.49999999999818,-40.40000000000058,-18.700000000001182,,,,11.733333333332515
2023H1,D_PROFIT_THEN_GIVEBACK,SHORT,2,100.00000000002274,,22.650000000000148,22.650000000000148,-6.25,-6.25,,,,17.64999999999901
2023H1,F_CONTINUATION_RESUMPTION,LONG,5,-1051.0000000000446,0.0,16.59999999999968,8.399999999997476,-34.780000000000086,-32.20000000000027,,,,37.62000000000057
2023H1,F_CONTINUATION_RESUMPTION,SHORT,2,-695.0000000000216,0.0,3.6000000000001364,3.6000000000001364,-40.55000000000035,-40.55000000000035,,,,38.35000000000122
2023H1,H_SUSTAINED_REVERSAL,LONG,6,3267.0000000000528,,62.90000000000001,57.59999999999934,-7.449999999999098,-5.19999999999925,,,,8.44999999999914
2023H1,H_SUSTAINED_REVERSAL,SHORT,3,1082.000000000022,,51.666666666666096,46.10000000000127,-6.8333333333337505,-6.89999999999884,,,,15.599999999998696
2023H2,D_PROFIT_THEN_GIVEBACK,LONG,5,171.99999999996862,12.466666666675003,19.319999999999595,21.69999999999845,-17.59999999999991,-13.900000000001,,,,15.880000000000223
2023H2,D_PROFIT_THEN_GIVEBACK,SHORT,4,-252.99999999998593,0.16776315789478885,21.424999999999983,10.500000000000398,-18.0499999999995,-17.499999999999716,,,,27.74999999999963
2023H2,F_CONTINUATION_RESUMPTION,LONG,10,-2271.000000000015,0.0,8.929999999999438,5.349999999999966,-32.06000000000046,-28.050000000000352,,,,31.63999999999959
2023H2,F_CONTINUATION_RESUMPTION,SHORT,5,-595.0000000000273,0.0,23.49999999999909,19.10000000000025,-19.540000000000077,-16.900000000001114,,,,35.399999999999636
2023H2,H_SUSTAINED_REVERSAL,LONG,9,1861.0000000000184,,25.766666666666538,29.60000000000207,-9.311111111110726,-8.600000000001273,,,,5.088888888888555
2023H2,H_SUSTAINED_REVERSAL,SHORT,2,424.0000000000066,,31.399999999999295,31.399999999999295,-14.799999999999613,-14.799999999999613,,,,10.199999999998965
2024H1,A_IMMEDIATE_SIGNAL_FAILURE,SHORT,1,-183.9999999999975,0.0,-0.3000000000014324,-0.3000000000014324,-38.700000000000045,-38.700000000000045,,,,18.09999999999832
2024H1,D_PROFIT_THEN_GIVEBACK,LONG,8,574.9999999999602,10.12698412698109,23.474999999999824,20.49999999999983,-17.16249999999988,-11.650000000000205,,,,16.28750000000032
2024H1,D_PROFIT_THEN_GIVEBACK,SHORT,1,56.99999999998795,,18.499999999997385,18.499999999997385,-8.00000000000125,-8.00000000000125,,,,12.79999999999859
2024H1,F_CONTINUATION_RESUMPTION,LONG,5,-564.9999999999977,0.0,4.099999999999682,3.400000000002024,-21.720000000000255,-21.299999999999383,,,,15.399999999999636
2024H1,F_CONTINUATION_RESUMPTION,SHORT,3,-355.9999999999661,0.0,7.06666666666725,4.200000000000159,-22.233333333333388,-13.49999999999909,,,,18.933333333332786
2024H1,H_SUSTAINED_REVERSAL,LONG,9,1925.9999999999593,,25.866666666666383,14.699999999999136,-17.344444444444523,-7.900000000000773,,,,4.4666666666668355
2024H1,H_SUSTAINED_REVERSAL,SHORT,3,699.9999999999886,,41.433333333332214,15.099999999998204,-10.900000000000887,-7.400000000001228,,,,18.09999999999926
2024H2,A_IMMEDIATE_SIGNAL_FAILURE,LONG,1,-317.99999999998363,0.0,-0.3999999999990677,-0.3999999999990677,-51.69999999999959,-51.69999999999959,,,,31.39999999999929
2024H2,D_PROFIT_THEN_GIVEBACK,LONG,3,197.99999999997908,,30.433333333333696,21.69999999999845,-25.233333333332553,-24.59999999999809,,,,23.833333333334394
2024H2,D_PROFIT_THEN_GIVEBACK,SHORT,3,218.99999999996567,,21.79999999999893,26.900000000000546,-7.0333333333347055,-6.800000000001205,,,,14.500000000000076
2024H2,F_CONTINUATION_RESUMPTION,LONG,3,-352.0000000000323,0.0,10.433333333331992,9.199999999998454,-26.466666666667038,-25.200000000000955,,,,22.1666666666664
