fold,h1_state,h4_state,session,side,trades,net_jpy,pf,mean_shock_magnitude_pips,mean_shock_ratio,mean_shock_duration_bars,mean_failure_delay_bars,mean_atr14_pips,mean_directional_persistence_4h,mean_directional_autocorr_24h,mean_time_since_previous_shock_minutes,mean_shock_count_prior_24h,mean_shock_count_prior_7d,mean_time_to_profit_minutes,mean_time_to_mfe_minutes,mean_mfe_pips,mean_mae_pips
2023H1,DOWN,DOWN,LONDON,SHORT,1,277.00000000001523,,51.50000000000148,7.984496124031814,1.0,1.0,21.257142857142647,0.0,-0.1127800904087001,75.0,8.0,25.0,,,46.10000000000127,-6.89999999999884
2023H1,DOWN,DOWN,LONDON_NY_OVERLAP,LONG,4,-23.999999999972488,0.9646539027982733,45.025000000000404,3.630197040266506,1.75,1.0,24.60892857142838,0.40625,0.04768690402560632,41.25,6.0,23.75,,,34.67500000000001,-44.299999999999784
2023H1,DOWN,DOWN,LONDON_NY_OVERLAP,SHORT,1,8.000000000009777,,19.10000000000025,2.7681159420294867,2.0,1.0,16.514285714286,0.375,0.1485527824871137,15.0,3.0,19.0,,,25.99999999999909,-6.900000000001683
2023H1,DOWN,DOWN,NEW_YORK,LONG,1,274.0000000000009,,65.19999999999868,5.478991596638555,5.0,1.0,22.71428571428617,0.125,0.2227191695229101,15.0,4.0,40.0,,,53.89999999999873,-12.399999999999524
2023H1,DOWN,DOWN,NEW_YORK,SHORT,1,-266.00000000001955,0.0,33.29999999999984,3.762711864406921,2.0,1.0,24.207142857142724,0.125,-0.1813556277164772,15.0,10.0,28.0,,,6.499999999999773,-35.90000000000089
2023H1,DOWN,DOWN,TOKYO,LONG,2,1358.000000000004,,29.049999999999443,2.917552717552759,1.0,1.0,15.392857142856645,0.25,0.0797921034668096,210.0,4.5,11.0,,,74.45000000000022,-10.499999999998977
2023H1,DOWN,UP,LONDON_NY_OVERLAP,LONG,1,548.0000000000018,,24.70000000000141,3.406896551724092,5.0,1.0,12.128571428571686,0.125,-0.0856503414654766,15.0,4.0,22.0,,,61.29999999999996,-4.699999999999704
2023H1,DOWN,UP,TOKYO,LONG,1,-73.0000000000075,0.0,29.20000000000016,2.8487804878051146,1.0,1.0,6.850000000000023,0.1875,0.1763611312105791,555.0,8.0,26.0,,,9.600000000000364,-31.700000000000728
2023H1,UP,DOWN,LONDON,SHORT,1,92.00000000001296,,28.899999999998727,3.853333333333748,3.0,1.0,9.228571428571032,0.0,-0.046890835883666,360.0,4.0,16.0,,,19.300000000001205,-5.599999999998317
2023H1,UP,DOWN,LONDON_NY_OVERLAP,LONG,1,7.999999999981355,,25.0,2.5252525252524296,2.0,1.0,16.14285714285789,0.0625,0.0027273497884162,30.0,3.0,22.0,,,19.10000000000025,-18.700000000001182
2023H1,UP,UP,LONDON,LONG,1,-122.0000000000141,0.0,24.699999999998568,2.790960451977357,1.0,1.0,11.31428571428594,0.125,0.0870487635008913,1065.0,1.0,21.0,,,3.6000000000001364,-20.79999999999984
2023H1,UP,UP,LONDON_NY_OVERLAP,LONG,1,487.0000000000232,,22.700000000000387,2.686390532545151,2.0,1.0,16.821428571428296,0.0625,0.0449653702244724,30.0,4.0,32.0,,,50.499999999999545,-0.899999999998613
2023H1,UP,UP,LONDON_NY_OVERLAP,SHORT,1,621.0000000000093,,71.19999999999891,6.813397129186395,2.0,1.0,16.5857142857141,0.25,-0.0746373254313279,450.0,2.0,21.0,,,80.19999999999925,-4.900000000000659
2023H1,UP,UP,NEW_YORK,LONG,2,-167.0000000000016,0.05649717514134546,25.900000000000034,2.6643308382436235,1.5,1.0,18.589285714285452,0.3125,-0.07828493479727186,97.5,4.0,25.0,,,8.64999999999867,-26.200000000000045
2023H1,UP,UP,NEW_YORK,SHORT,1,-429.0000000000021,0.0,30.50000000000068,2.785388127853657,1.0,1.0,15.907142857142478,0.25,-0.0069773523031365,690.0,3.0,28.0,,,0.7000000000005002,-45.19999999999982
2023H1,UP,UP,TOKYO,SHORT,1,183.9999999999975,,17.199999999999704,2.77419354838652,6.0,1.0,10.050000000000075,0.5,0.1639208437437513,285.0,3.0,20.0,,,28.69999999999777,-8.70000000000175
2023H2,DOWN,DOWN,LONDON,LONG,1,292.0000000000016,,21.399999999999864,2.8157894736839104,5.0,1.0,8.992857142857044,0.125,-0.1779765011700061,15.0,13.0,30.0,,,31.39999999999929,-0.899999999998613
