trades,net,pf,win_rate,median,gross_profit,gross_loss,mdd,mean_mfe_pips,mean_mae_pips,profit_then_giveback_rate,immediate_failure_rate,timeout_truncation_rate,positive_months,fold,side_label
14,2289.0000000000155,3.1779257849666207,0.6428571428571429,32.500000000013074,3340.00000000006,-1051.0000000000446,679.000000000002,35.92142857142834,-24.27142857142834,0.21428571428571427,0.0,0.0,5,2023H1,LONG
7,487.00000000002314,1.7007194244604433,0.7142857142857143,92.00000000001296,1182.0000000000448,-695.0000000000216,695.0000000000216,29.64285714285698,-16.300000000000278,0.2857142857142857,0.0,0.0,3,2023H1,SHORT
24,-238.00000000002797,0.895888013998238,0.5416666666666666,26.999999999986812,2047.9999999999734,-2286.0000000000014,866.9999999999902,17.408333333332966,-20.516666666666694,0.20833333333333334,0.0,0.0,3,2023H2,LONG
11,-424.0000000000066,0.528364849833156,0.36363636363636365,-84.00000000000318,475.00000000002274,-899.0000000000293,562.0000000000118,24.181818181817633,-18.13636363636342,0.36363636363636365,0.0,0.0,2,2023H2,SHORT
22,1935.9999999999218,4.082802547770506,0.7272727272727273,74.50000000001467,2563.9999999999363,-628.0000000000143,161.99999999997772,20.04999999999975,-18.27272727272732,0.36363636363636365,0.0,0.0,6,2024H1,LONG
8,217.00000000001296,1.401851851851903,0.5,-1.4999999999929479,756.9999999999766,-539.9999999999636,183.99999999999747,20.462499999999295,-18.262500000000514,0.125,0.125,0.0,3,2024H1,SHORT
15,3300.999999999931,5.926865671641571,0.7333333333333333,108.00000000000408,3970.999999999947,-670.0000000000159,552.0000000000209,36.68666666666638,-20.78666666666682,0.2,0.06666666666666667,0.0,5,2024H2,LONG
13,4933.999999999911,3.158355205599233,0.6923076923076923,98.99999999998954,7219.99999999994,-2286.0000000000296,841.0000000000082,73.56153846153794,-27.323076923077302,0.23076923076923078,0.0,0.0,4,2024H2,SHORT
11,82.0,1.0538057742782152,0.36363636363636365,-89.0,1606.0,-1524.0,1387.0,31.445454545454314,-27.081818181818303,0.18181818181818182,0.0,0.0,2,2025H1,LONG
6,-362.0,0.7332350773765659,0.3333333333333333,-60.5,995.0,-1357.0,1141.0,27.200000000000085,-37.716666666666754,0.0,0.0,0.0,1,2025H1,SHORT
13,16.0,1.0175246440306682,0.3076923076923077,-39.0,929.0,-913.0,429.0,18.72307692307756,-17.1230769230767,0.23076923076923078,0.0,0.0,2,2025H2,LONG
17,-1013.0,0.5954472843450479,0.5294117647058824,12.0,1491.0,-2504.0,1127.0,16.952941176471118,-24.805882352941587,0.4117647058823529,0.0,0.0,3,2025H2,SHORT
