fold,classification,trades,net_jpy,pf,share
2023H1,A_IMMEDIATE_SIGNAL_FAILURE,0,0.0,,0.0
2023H1,B_DELAYED_REVERSAL,0,0.0,,0.0
2023H1,C_INSUFFICIENT_REVERSAL,0,0.0,,0.0
2023H1,D_PROFIT_THEN_GIVEBACK,5,173.00000000003024,,0.23809523809523808
2023H1,E_TIMEOUT_TRUNCATION,0,0.0,,0.0
2023H1,F_CONTINUATION_RESUMPTION,7,-1746.0000000000662,0.0,0.3333333333333333
2023H1,G_EXECUTION_DATA_ANOMALY,0,0.0,,0.0
2023H1,H_SUSTAINED_REVERSAL,9,4349.000000000075,,0.42857142857142855
2023H2,A_IMMEDIATE_SIGNAL_FAILURE,0,0.0,,0.0
2023H2,B_DELAYED_REVERSAL,0,0.0,,0.0
2023H2,C_INSUFFICIENT_REVERSAL,0,0.0,,0.0
2023H2,D_PROFIT_THEN_GIVEBACK,9,-81.00000000001731,0.746081504702131,0.2571428571428571
2023H2,E_TIMEOUT_TRUNCATION,0,0.0,,0.0
2023H2,F_CONTINUATION_RESUMPTION,15,-2866.000000000042,0.0,0.42857142857142855
2023H2,G_EXECUTION_DATA_ANOMALY,0,0.0,,0.0
2023H2,H_SUSTAINED_REVERSAL,11,2285.000000000025,,0.3142857142857143
2024H1,A_IMMEDIATE_SIGNAL_FAILURE,1,-183.9999999999975,0.0,0.03333333333333333
2024H1,B_DELAYED_REVERSAL,0,0.0,,0.0
2024H1,C_INSUFFICIENT_REVERSAL,0,0.0,,0.0
2024H1,D_PROFIT_THEN_GIVEBACK,9,631.9999999999482,11.031746031742566,0.3
2024H1,E_TIMEOUT_TRUNCATION,0,0.0,,0.0
2024H1,F_CONTINUATION_RESUMPTION,8,-920.9999999999638,0.0,0.26666666666666666
2024H1,G_EXECUTION_DATA_ANOMALY,0,0.0,,0.0
2024H1,H_SUSTAINED_REVERSAL,12,2625.999999999948,,0.4
2024H2,A_IMMEDIATE_SIGNAL_FAILURE,1,-317.99999999998363,0.0,0.03571428571428571
2024H2,B_DELAYED_REVERSAL,0,0.0,,0.0
2024H2,C_INSUFFICIENT_REVERSAL,0,0.0,,0.0
2024H2,D_PROFIT_THEN_GIVEBACK,6,416.99999999994475,,0.21428571428571427
2024H2,E_TIMEOUT_TRUNCATION,0,0.0,,0.0
2024H2,F_CONTINUATION_RESUMPTION,7,-2638.000000000062,0.0,0.25
2024H2,G_EXECUTION_DATA_ANOMALY,0,0.0,,0.0
2024H2,H_SUSTAINED_REVERSAL,14,10773.999999999944,,0.5
2025H1,A_IMMEDIATE_SIGNAL_FAILURE,0,0.0,,0.0
2025H1,B_DELAYED_REVERSAL,0,0.0,,0.0
2025H1,C_INSUFFICIENT_REVERSAL,0,0.0,,0.0
2025H1,D_PROFIT_THEN_GIVEBACK,2,-143.0,0.0,0.11764705882352941
2025H1,E_TIMEOUT_TRUNCATION,0,0.0,,0.0
2025H1,F_CONTINUATION_RESUMPTION,9,-2738.0,0.0,0.5294117647058824
2025H1,G_EXECUTION_DATA_ANOMALY,0,0.0,,0.0
2025H1,H_SUSTAINED_REVERSAL,6,2601.0,,0.35294117647058826
2025H2,A_IMMEDIATE_SIGNAL_FAILURE,0,0.0,,0.0
2025H2,B_DELAYED_REVERSAL,0,0.0,,0.0
2025H2,C_INSUFFICIENT_REVERSAL,0,0.0,,0.0
2025H2,D_PROFIT_THEN_GIVEBACK,10,54.0,1.3,0.3333333333333333
2025H2,E_TIMEOUT_TRUNCATION,0,0.0,,0.0
2025H2,F_CONTINUATION_RESUMPTION,12,-3237.0,0.0,0.4
2025H2,G_EXECUTION_DATA_ANOMALY,0,0.0,,0.0
2025H2,H_SUSTAINED_REVERSAL,8,2186.0,,0.26666666666666666
